date,open,high,low,close,change_pct
2004-08-13,1053.9,1077.0,1043.7001,1059.6,-1.2488
2004-08-16,1047.5,1060.4,1021.6,1034.1,-2.4066
2004-08-17,1016.9,1034.5,1002.6,1021.6,-1.2088
2004-08-18,1012.7,1028.6,998.9,1008.1,-1.3215
2004-08-19,1000.7,1011.0,974.4,989.4,-1.855
2004-08-20,980.3,998.0,962.4,982.6,-0.6873
2004-08-23,958.2,968.4,936.9,949.8,-3.3381
2004-08-24,950.7,978.6,939.8,966.5,1.7583
2004-08-25,947.3,958.3,931.8,943.2,-2.4108
2004-08-26,920.4,931.1,904.7,915.1,-2.9792
2004-08-27,901.7,911.8,882.6,892.6,-2.4587
2004-08-30,869.8,885.2,856.5,875.5,-1.9158
2004-08-31,918.3,941.0,905.2,918.5,4.9115
2004-09-01,897.8,903.1,878.8,886.0,-3.5384
2004-09-02,879.7,898.2,867.9,892.5,0.7336
2004-09-03,881.2,891.5,869.4,879.2,-1.4902
2004-09-06,856.2,864.3,845.2,855.7,-2.6729
2004-09-07,831.7,840.7,821.8,834.4,-2.4892
2004-09-08,825.5,832.1,811.2,819.6,-1.7737
2004-09-09,816.9,822.2,796.6,803.0,-2.0254
2004-09-10,787.3,798.6,776.9,792.1,-1.3574
2004-09-13,785.1,790.9,761.6,768.3,-3.0047
2004-09-14,806.2,839.0,803.5,829.2,7.9266
2004-09-15,989.3,1056.3,982.3,1035.5,24.8794
2004-09-16,1145.1,1173.4,1128.4,1158.1,11.8397
2004-09-17,1322.0,1372.4,1306.4,1364.2001,17.7964
2004-09-20,1603.9,1669.1,1585.8,1657.9,21.5291
2004-09-21,1830.1,1868.3,1777.2001,1821.5,9.8679
2004-09-22,1915.2001,1958.4,1863.0,1886.9,3.5904
2004-09-23,1915.6,1989.7001,1888.0,1978.9,4.8757
2004-09-24,2205.8,2268.7,2121.8,2136.8,7.9792
2004-09-27,2157.8,2202.7,2089.6001,2114.6001,-1.0389
